FC gene
-1.06861731371957 AMBP
0.127757014500898 AMBRA1
-0.763128907180266 AMD1
0.872509350812753 AMD1P3
0.852152826545995 AMDHD1
-0.421125174061795 AMDHD2
-1.42334545998564 AMER1
0.432691537267699 AMFR
0.874163884701777 AMH
-0.510240617268611 AMHR2
0.166708099136504 AMIGO1
1.36821995947318 AMIGO2
1.92012652286295 AMIGO3
-0.875043991039026 AMMECR1
0.453605311998803 AMMECR1L
0.862088772559263 AMN
0.373713525643082 AMN1
2.33165889856788 AMOT
0.49504116552825 AMOTL1
0.0318530642482757 AMPD2
-0.098695974467971 AMPD3
1.76458119365343 AMPH
-0.713629271373125 AMT
2.59158122225514 AMY2B
-0.109906719748759 AMZ1
0.60574222546161 AMZ2
0.295103465935359 AMZ2P1
-0.444780674556564 ANAPC1
-0.421485630008205 ANAPC10
0.139652133972258 ANAPC11
-0.524571210473832 ANAPC13
-0.585950500683592 ANAPC15
1.11634164800734 ANAPC16
0.18649400839325 ANAPC1P2
-0.156656651421098 ANAPC1P4
-0.168049819326505 ANAPC2
-0.595725247021329 ANAPC4
-0.333550622719735 ANAPC5
-0.325735035835787 ANAPC7
1.7837292013164 ANG
-0.222890143692668 ANGEL1
0.263920280373232 ANGEL2
-0.125797356952517 ANGPT1
-1.5876885984297 ANGPT2
0.854936037922914 ANGPTL1
-0.106835009449117 ANGPTL2
2.32904560212761 ANGPTL4
-0.40347050147803 ANGPTL6
-0.581833414358816 ANK1
4.64967034089509 ANK2
-0.0811764615445512 ANK3
0.24891133922284 ANKAR
-1.47325313129987 ANKDD1A
0.418372793251033 ANKDD1B
0.297679649177547 ANKEF1
5.12793056013166 ANKFN1
-0.259118415518029 ANKFY1
0.608430377428357 ANKH
0.200903556174041 ANKHD1
-0.201297466298632 ANKHD1-EIF4EBP3
0.0573457527338512 ANKIB1
-1.04560226700156 ANKLE1
0.0869935907492471 ANKLE2
0.454964235644744 ANKMY1
-0.0653903527287141 ANKMY2
0.397736427577666 ANKRA2
-0.804185201751757 ANKRD1
0.0199292905342393 ANKRD10
0.573711190550379 ANKRD11
0.854936037922914 ANKRD11P2
-0.360417146366266 ANKRD12
0.157133850370109 ANKRD13A
-0.425765382014453 ANKRD13B
-0.228567908437554 ANKRD13C
0.525991670038164 ANKRD13D
-0.267263700763731 ANKRD16
-0.419837902813598 ANKRD17
0.90973719772626 ANKRD18A
-0.068059806273006 ANKRD18B
3.68966427985915 ANKRD18CP
1.34545555529879 ANKRD19P
1.76458119365343 ANKRD2
-0.0937973007637515 ANKRD20A1
-0.242656999608881 ANKRD20A11P
0.617846726127435 ANKRD20A17P
-0.106835317411385 ANKRD20A18P
-1.36046735065115 ANKRD20A19P
-0.216707240275536 ANKRD20A21P
-0.705376972720008 ANKRD20A2P
0.743025582322773 ANKRD20A3P
-0.444763327829262 ANKRD20A4P
1.80488644128564 ANKRD20A5P
-0.213964964314275 ANKRD20A8P
-0.725015087997388 ANKRD20A9P
0.854936037922915 ANKRD22
-0.0754701688199638 ANKRD23
4.911204174678 ANKRD24
0.0957818353934594 ANKRD26
-0.175364541221963 ANKRD27
-0.356904152315671 ANKRD28
-0.106834983163469 ANKRD30A
1.11657858903927 ANKRD31
3.06574616384113 ANKRD33
1.64563109507953 ANKRD33B
2.72347679705235 ANKRD33BP10
-1.59560932839128 ANKRD33BP7
0.0290135845689979 ANKRD34A
0.759747219479716 ANKRD34C
-0.10683551554868 ANKRD35
-0.507624536575111 ANKRD36
-0.147111614456145 ANKRD36B
0.412230007182216 ANKRD36C
0.458591953682375 ANKRD37
-0.335717498712966 ANKRD39
-0.069295957916317 ANKRD40
0.484207439331424 ANKRD42
1.37008751649439 ANKRD44
-0.163796519775822 ANKRD45
0.0106496355633423 ANKRD46
0.277230611173224 ANKRD49
-1.06861731371957 ANKRD49P1
-1.06861731371957 ANKRD49P3
-0.353237776871124 ANKRD50
0.169378374053512 ANKRD52
0.854936037922915 ANKRD53
0.319558898917397 ANKRD54
0.41699989392583 ANKRD55
1.00533259470612 ANKRD6
0.574385305823619 ANKRD61
-0.675776985134784 ANKRD62
-0.106834843050277 ANKRD62P1
-1.23830285019736 ANKRD63
-1.06861731371957 ANKRD7
0.000546086034548705 ANKRD9
0.0738173128911134 ANKS1A
-0.106835317411385 ANKS1B
-0.0148287280621463 ANKS3
-0.369693562350281 ANKS6
0.309851801223866 ANKZF1
-0.217097729162556 ANLN
0.75976512745678 ANO1
0.0113221639524972 ANO10
-1.48276810572912 ANO2
3.06310522948094 ANO3
0.722345442864981 ANO5
0.495009427661554 ANO6
-0.983942331381718 ANO7
0.449435206300274 ANO7L1
0.224482489624474 ANO8
-0.114929670102489 ANO9
-0.794961276064004 ANP32A
-0.309279517584945 ANP32B
-1.9315674361126 ANP32BP1
-1.06861731371957 ANP32BP3
-0.521487076530553 ANP32E
